Data,,,,Run #,,1,2,3,4,5,6,7,8,9,10,mean,median
alpha,0.5,,,Success Rate,,0.89,0.75,0.81,0.87,0.55,0.97,0.91,0.95,0.94,0.94,0.858,0.89
epsilon,0.05,,,Ratio Penalized Moves,,0.2022,0.1685,0.1294,0.1505,0.1841,0.0616,0.2026,0.1221,0.1929,0.065,0.14789,0.1505
gamma,0.5,,,Total Reward,,2643.5,2588.5,2390,2208,2314,2203.5,2606,2336.5,2548.5,2218,2405.65,2390
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.75,,,Success Rate,,0.89,0.87,0.69,0.92,0.94,0.95,0.81,0.98,0.98,0.85,0.888,0.89
epsilon,0.05,,,Ratio Penalized Moves,,0.0756,0.0931,0.1279,0.0595,0.0862,0.0686,0.1027,0.0637,0.0674,0.098,0.08427,0.08427
gamma,0.5,,,Total Reward,,2073.5,2149,2273,2208.5,2345.5,2137,2277,2178.5,2290.5,2183.5,2211.6,2208.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.75,,,Success Rate,,0.78,0.9,0.63,0.83,1,0.75,0.83,0.69,0.81,0.89,0.811,0.811
epsilon,0.05,,,Ratio Penalized Moves,,0.2466,0.1102,0.25,0.291,0.0874,0.0978,0.1468,0.1061,0.3099,0.1493,0.17951,0.1493
gamma,0.75,,,Total Reward,,2766,2328.5,2664,2673,2281,1975.5,2255.5,2286,2737.5,2249,2421.6,2328.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.98,0.96,0.92,0.99,0.93,0.92,0.89,0.83,0.81,0.97,0.92,0.92
epsilon,0.05,,,Ratio Penalized Moves,,0.0922,0.0689,0.0688,0.0703,0.0932,0.0684,0.0776,0.084,0.1082,0.0776,0.08092,0.0776
gamma,0.5,,,Total Reward,,2267,2267.5,2102,2233.5,2189.5,2313,2206.5,2090.5,2128.5,2281.5,2207.95,2207.95
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.59,0.69,0.81,0.37,0.91,0.57,0.53,0.54,0.89,0.54,0.644,0.58
epsilon,0.01,,,Ratio Penalized Moves,,0.0581,0.0532,0.0353,0.0385,0.0312,0.0373,0.0402,0.0491,0.0581,0.0605,0.04615,0.04465
gamma,0.5,,,Total Reward,,1842.5,1716,2037.5,1234.5,2211.5,1595.5,1487,1548.5,2182.5,1666.5,1752.2,1691.25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.96,0.9,0.9,0.95,0.94,0.93,0.79,0.96,0.92,0.91,0.916,0.925
epsilon,0.08,,,Ratio Penalized Moves,,0.0791,0.1394,0.1248,0.1415,0.0754,0.122,0.1228,0.1339,0.1034,0.1332,0.11755,0.1238
gamma,0.5,,,Total Reward,,2216.5,2315.5,2212,2389,2104.5,2667,2169,2386.5,2145,2375.5,2298.05,2266
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.8,0.82,0.73,0.82,0.88,0.88,0.93,0.85,0.89,0.86,0.846,0.855
epsilon,0.08,,,Ratio Penalized Moves,,0.2014,0.2118,0.3017,0.1807,0.1311,0.1184,0.1873,0.2123,0.1327,0.1329,0.18103,0.184
gamma,0.8,,,Total Reward,,2294.5,2302.5,2646,2288,2115.5,2191.5,2367,2376.5,2361.5,2360,2330.3,2331.25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.83,0.93,0.94,0.96,0.86,0.96,0.97,0.91,0.98,0.95,0.929,0.945
epsilon,0.08,,,Ratio Penalized Moves,,0.1188,0.0933,0.1072,0.0811,0.1109,0.1119,0.0842,0.1051,0.095,0.1086,0.10161,0.10615
gamma,0.3,,,Total Reward,,2271,2103,2284.5,2177,2293,2183.5,2238.5,2364,2220,2249.5,2238.4,2244
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.82,0.94,0.95,0.89,0.93,0.95,0.9,1,0.92,0.93,0.923,0.93
epsilon,0.08,,,Ratio Penalized Moves,,0.0673,0.0676,0.0716,0.687,0.0789,0.0813,0.0737,0.0567,0.074,0.0623,0.13204,0.07265
gamma,0.1,,,Total Reward,,1959.5,2095,2181.5,2164.5,2099,2225,2055,2290,2185.5,2183.5,2143.85,2173
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.95,,,Success Rate,,0.91,0.97,0.97,0.87,0.83,0.91,0.91,0.72,0.94,0.97,0.9,0.91
epsilon,0.05,,,Ratio Penalized Moves,,0.0563,0.055,0.0451,0.0533,0.0615,0.0557,0.061,0.0591,0.0503,0.0505,0.05478,0.05535
gamma,0.05,,,Total Reward,,2184.5,2186,2170.5,2013,1953,2147.5,2082.5,1727.5,2098,2247.5,2081,2122.75
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.95,,,Success Rate,,0.92,0.93,0.95,0.9,0.98,0.92,0.95,0.95,0.91,0.96,0.937,0.94
epsilon,0.008,,,Ratio Penalized Moves,,0.0966,0.0732,0.0827,0.0797,0.0918,0.0989,0.0943,0.0926,0.0977,0.0867,0.08942,0.0922
gamma,0.25,,,Total Reward,,2230.5,2145,2169.5,2178.5,2251,2178.5,2150,2259.5,2175,2216.5,2195.4,2178.5
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.94,0.97,0.96,0.97,0.95,0.93,0.98,0.97,0.97,0.94,0.958,0.965
epsilon,0.08,,,Ratio Penalized Moves,,0.1276,0.111,0.0955,0.112,0.1302,0.1185,0.122,0.0829,0.1272,0.138,0.11649,0.12025
gamma,0.3,,,Total Reward,,2384,2307.5,2202.5,2313,2302.5,2245,2452,2257,2543,22465.5,4347.2,2310.25
IQV,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.99,1,0.99,0.97,0.99,1,0.99,0.99,1,0.99,0.991,0.99
epsilon,0.01,,,Ratio Penalized Moves,,0.0341,0.0354,0.029,0.0358,0.0313,0.0331,0.0363,0.0319,0.0304,0.0319,0.03292,0.0325
gamma,0.1,,,Total Reward,,222.5,2187,2234.5,2186,2229,2260.5,2216,2221,2263.5,2227,2024.7,2224
IQV,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
*****,,,,,,,,,,,,,,,,,
With 96 states,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,1,1,0.98,1,0.99,0.99,0.99,0.99,1,1,0.994,0.995
epsilon,0.01,,,Ratio Penalized Moves,,0.0292,0.025,0.0278,0.0292,0.0248,0.0244,0.0239,0.0214,0.0244,0.0203,0.02504,0.0246
gamma,0.1,,,Total Reward,,2256,2197,2250,2238.5,2285.5,2205.5,2167,2199,2238.5,2218.5,2225.55,2228.5
IQV,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.92,0.93,0.98,0.93,0.93,0.96,0.95,0.87,0.63,0.91,0.901,0.93
epsilon,0.08,,,Ratio Penalized Moves,,0.0983,0.09684,0.07628,0.1177,0.0951,0.08438,0.1008,0.1122,0.1247,0.0879,0.09942,0.09757
gamma,0.3,,,Total Reward,,2143,2157,2186,2336,2192,2280,2351,2219,2054.5,2182,2210.05,2189
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.9,0.6,0.72,0.74,0.6,0.5,0.82,0.97,0.76,0.56,0.717,0.73
epsilon,0.01,,,Ratio Penalized Moves,,0.0359,0.0538,0.0494,0.0452,0.062,0.0331,0.0568,0.051,0.0357,0.0354,0.04583,0.0473
gamma,0.3,,,Total Reward,,2103,1808,1926.5,1970,1923.5,1396,2059.5,2340,1788,1578.5,1889.3,1925
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.81,0.84,0.93,0.95,0.91,0.89,0.92,0.83,0.96,0.91,0.895,0.91
epsilon,0.05,,,Ratio Penalized Moves,,0.1041,0.0706,0.0657,0.0785,0.055,0.0669,0.0804,0.08428,0.0678,0.0728,0.074608,0.0717
gamma,0.3,,,Total Reward,,2374,2136,2187,2290.5,2012.5,2088,2252.5,2111,2251,2187.5,2189,2187.25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.5,,,Success Rate,,0.93,0.94,0.92,0.88,0.84,0.94,0.69,0.85,0.87,0.8,0.866,0.875
epsilon,0.05,,,Ratio Penalized Moves,,0.1165,0.1033,0.1248,0.1665,0.1294,0.1019,0.194,0.1114,0.1055,0.17,0.13233,0.12065
gamma,0.5,,,Total Reward,,2419.5,2393.5,2397,2525.5,2499,2338.5,2739.5,2322.5,2381.5,2597,2461.35,2408.25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,1,0.93,0.73,0.84,0.61,0.9,0.97,0.94,0.86,0.88,0.866,0.89
epsilon,0.05,,,Ratio Penalized Moves,,0.0415,0.0775,0.1089,0.0846,0.1148,0.085,0.0649,0.0602,0.0919,0.1017,0.0831,0.0848
gamma,0.5,,,Total Reward,,2247,2201,2283,2160.5,2186,2062,2352,2225,2255.5,2239.5,2221.15,2232.25
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.95,0.48,0.83,0.54,0.72,0.84,0.98,0.39,0.95,0.93,0.761,0.835
epsilon,0.01,,,Ratio Penalized Moves,,0.0273,0.0455,0.0267,0.036,0.0254,0.1103,0.0866,0.0291,0.0245,0.0276,0.0439,0.02835
gamma,0.5,,,Total Reward,,2145.5,1461,1955,1450.5,1798.5,2264,2172.5,1273.5,2103,2047.5,1867.1,2001.25
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.96,0.96,0.98,0.66,0.91,0.99,0.77,0.97,0.69,0.82,0.871,0.935
epsilon,0.03,,,Ratio Penalized Moves,,0.059,0.0716,0.0627,0.0692,0.0697,0.0491,0.1057,0.0402,0.0516,0.0916,0.06704,0.06595
gamma,0.5,,,Total Reward,,2289,2332.5,2269.5,1955,2173,2229,2412,2123,1754.5,2113.5,2165.1,2201
